strike,ltp,iv,volume,oi,oi_change,option_type,underlying,expiry,as_of
47000,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
47500,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
48000,5854.0,135.32,591,175,-401,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
48500,5800.0,187.28,25,14,-1,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
49000,5040.0,121.55,398,91,-289,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
49500,4645.0,135.13,32,29,-6,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
49600,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
49700,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
49800,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
49900,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
50000,3929.2,0.0,982,458,-611,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
50100,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
50200,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
50300,3800.5,108.17,2,5,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
50400,0.0,0.0,0,1,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
50500,3463.3,64.04,48,53,-18,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
50600,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
50700,3300.0,75.92,17,17,9,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
50800,3550.0,134.58,5,6,-1,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
50900,3410.0,126.55,17,17,10,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
51000,2903.35,52.27,792,356,-438,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
51100,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
51200,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
51300,0.0,0.0,0,1,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
51400,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
51500,2435.0,0.0,46,37,-32,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
51600,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
51700,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
51800,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
51900,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
52000,1907.0,62.35,542,191,-219,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
52100,0.0,0.0,0,0,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
52200,1692.75,60.49,26,5,-9,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
52300,0.0,0.0,0,2,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
52400,0.0,0.0,0,1,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
52500,1383.3,0.0,160,102,-23,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
52600,1594.5,65.77,1,4,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
52700,0.0,0.0,0,4,0,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
52800,1318.35,51.13,17,3,1,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
52900,947.95,19.74,26,21,18,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
53000,836.0,12.74,3298,418,-397,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
53100,738.3,0.0,309,68,53,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
53200,643.85,12.47,399,67,54,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
53300,540.05,0.0,1547,93,83,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
53400,446.25,0.0,5478,171,145,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
53500,347.9,0.0,46846,2674,2296,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
53600,248.5,0.0,32456,1634,1584,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
53700,158.2,0.0,100027,3579,3523,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
53800,81.45,3.61,344251,14865,14757,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
53900,29.65,4.05,966614,50815,50731,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
54000,8.9,4.49,3081110,122010,118562,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
54100,4.05,5.03,2993585,80787,80458,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
54200,2.55,6.02,3193973,56827,55735,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
54300,1.8,7.12,2906792,37707,35835,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
54400,1.5,8.26,2294409,32495,28137,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
54500,1.3,9.52,2494582,42828,20252,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
54600,1.35,10.8,1111928,20867,7065,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
54700,1.3,12.0,895070,18864,5227,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
54800,1.3,13.3,667298,21208,7292,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
54900,1.25,14.63,451409,16645,5525,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
55000,1.25,15.82,1055134,56137,10924,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
55100,1.25,17.11,345804,19787,6414,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
55200,1.15,18.31,362138,20895,-6969,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
55300,1.05,19.32,307787,19062,-586,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
55400,1.1,20.56,255285,14399,-4617,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
55500,1.15,21.78,579726,49810,-10927,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
55600,1.05,22.9,152544,10272,-4818,CE,BANKNIFTY,2025-08-28,2025-08-28 14:50:36
